,Ticker,Market Capitalization,Stock Price,Number of Shares to Buy
152,DLTR,22949570560.0,106.77,N/A
153,D,41072340992.0,49.0,N/A
154,DPZ,18009694208.0,516.33,N/A
155,DOV,24799242240.0,180.45,N/A
156,DOW,37305077760.0,53.05,N/A
157,DHI,46409936896.0,140.93,N/A
158,DTE,22972076032.0,111.01,N/A
159,DUK,77354409984.0,100.23,N/A
160,DD,33653190656.0,80.49,N/A
161,EMN,11521174528.0,97.97,N/A
162,ETN,125386129408.0,313.55,N/A
163,EBAY,26967441408.0,53.72,N/A
164,ECL,67965657088.0,238.0,N/A
165,EIX,27629111296.0,71.81,N/A
166,EW,55662161920.0,92.37,N/A
167,EA,37024858112.0,139.33,N/A
168,ELV,125938016256.0,541.86,N/A
169,LLY,815208660992.0,905.38,N/A
170,EMR,63022534656.0,110.16,N/A
171,ENPH,13566842880.0,99.71,N/A
172,ETR,22848458752.0,107.0,N/A
173,EOG,72338874368.0,125.87,N/A
174,EPAM,10905564160.0,188.11,N/A
175,EQT,16330108928.0,36.98,N/A
176,EFX,29970724864.0,242.46,N/A
177,EQIX,71805648896.0,756.6,N/A
178,EQR,26277916672.0,69.34,N/A
179,ESS,18092562432.0,272.2,N/A
180,EL,38151208960.0,106.4,N/A
181,ETSY,6896708096.0,58.98,N/A
182,EG,16558442496.0,381.02,N/A
183,EVRG,12179339264.0,52.97,N/A
184,ES,19976380416.0,56.71,N/A
185,EXC,34611040256.0,34.61,N/A
186,EXPE,16690021376.0,125.99,N/A
187,EXPD,17626836992.0,124.79,N/A
188,EXR,34261221376.0,155.41,N/A
189,XOM,516420272128.0,115.12,N/A
190,FFIV,10094641152.0,172.23,N/A
191,FDS,15561537536.0,408.27,N/A
192,FICO,36786130944.0,1488.66,N/A
193,FAST,35978854400.0,62.84,N/A
194,FRT,8439467008.0,100.97,N/A
195,FDX,73784926208.0,299.84,N/A
196,FIS,41919074304.0,75.36,N/A
197,FITB,24942669824.0,36.49,N/A
198,FSLR,24133464064.0,225.46,N/A
199,FE,22024998912.0,38.27,N/A
200,FI,87749238784.0,149.04,N/A
201,FMC,7183276032.0,57.55,N/A
202,F,49829318656.0,12.54,N/A
203,FTNT,46042542080.0,60.27,N/A
204,FTV,26085347328.0,74.1,N/A
205,FOXA,15492655104.0,34.37,N/A
206,FOX,15482982400.0,32.02,N/A
207,BEN,11760234496.0,22.35,N/A
208,FCX,69813411840.0,48.6,N/A
209,GRMN,31293347840.0,162.92,N/A
210,IT,34860748800.0,449.06,N/A
211,GE,174010155008.0,158.97,N/A
212,GEHC,35567751168.0,77.92,N/A
213,GEV,47008489472.0,171.51,N/A
214,GEN,15641125888.0,24.98,N/A
215,GNRC,8014435840.0,132.22,N/A
216,GD,79603974144.0,290.14,N/A
217,GIS,35308314624.0,63.26,N/A
218,GM,52982517760.0,46.46,N/A
219,GPC,19267840000.0,138.32,N/A
220,GILD,85477769216.0,68.61,N/A
221,GPN,24682674176.0,96.7,N/A
222,GL,7591950336.0,82.28,N/A
223,GDDY,19690866688.0,139.71,N/A
224,GS,145856462848.0,452.32,N/A
225,HAL,29905467392.0,33.78,N/A
226,HIG,29735208960.0,100.54,N/A
227,HAS,8144136192.0,58.5,N/A
228,HCA,84147732480.0,321.28,N/A
229,DOC,13794127872.0,19.6,N/A
230,HSIC,8208069120.0,64.1,N/A
231,HSY,37175754752.0,183.83,N/A
232,HES,45452685312.0,147.52,N/A
233,HPE,27514013696.0,21.17,N/A
234,HLT,54560034816.0,218.2,N/A
235,HOLX,17328240640.0,74.25,N/A
236,HD,341353201664.0,344.24,N/A
237,HON,139054252032.0,213.54,N/A
238,HRL,16717819904.0,30.49,N/A
239,HST,12851169280.0,17.98,N/A
240,HWM,31687245824.0,77.63,N/A
241,HPQ,34269171712.0,35.02,N/A
242,HUBB,19621158912.0,365.48,N/A
243,HUM,45025198080.0,373.65,N/A
244,HBAN,19101116416.0,13.18,N/A
245,HII,9713604608.0,246.33,N/A
246,IBM,158872387584.0,172.95,N/A
247,IEX,15229914112.0,201.2,N/A
248,IDXX,40236531712.0,487.2,N/A
249,ITW,70708862976.0,236.96,N/A
250,INCY,11942807552.0,60.62,N/A
251,IR,36667109376.0,90.84,N/A
252,PODD,14133971968.0,201.8,N/A
253,INTC,131835256832.0,30.97,N/A
254,ICE,78518050816.0,136.89,N/A
255,IFF,24311969792.0,95.21,N/A
256,IP,14987376640.0,43.15,N/A
257,IPG,10979264512.0,29.09,N/A
258,INTU,183895900160.0,657.21,N/A
259,ISRG,157790961664.0,444.85,N/A
260,IVZ,6729472000.0,14.96,N/A
261,INVH,21983916032.0,35.89,N/A
262,IQV,38524366848.0,211.44,N/A
263,IRM,26270578688.0,89.62,N/A
264,JBHT,16511519744.0,160.0,N/A
265,JBL,13119748096.0,108.79,N/A
266,JKHY,12102858752.0,166.02,N/A
267,J,17493508096.0,139.71,N/A
268,JNJ,351760351232.0,146.16,N/A
269,JCI,44779245568.0,66.47,N/A
270,JPM,580823941120.0,202.26,N/A
271,JNPR,11849062400.0,36.46,N/A
272,K,19719868416.0,57.68,N/A
273,KVUE,34811244544.0,18.18,N/A
274,KDP,45276041216.0,33.4,N/A
275,KEY,13398041600.0,14.21,N/A
276,KEYS,23868209152.0,136.75,N/A
277,KMB,46533181440.0,138.2,N/A
278,KIM,13118296064.0,19.46,N/A
279,KMI,44099080192.0,19.87,N/A
280,KKR,97028120576.0,105.24,N/A
281,KLAC,111012028416.0,824.51,N/A
282,KHC,39124750336.0,32.22,N/A
283,KR,36049461248.0,49.93,N/A
284,LHX,42598334464.0,224.58,N/A
285,LH,17154589696.0,203.51,N/A
286,LRCX,139219550208.0,1064.85,N/A
287,LW,12140396544.0,84.08,N/A
288,LVS,32968329216.0,44.25,N/A
289,LDOS,19724726272.0,145.88,N/A
290,LEN,41338490880.0,149.87,N/A
291,LIN,210942984192.0,438.81,N/A
292,LYV,21695467520.0,93.74,N/A
293,LKQ,11095214080.0,41.59,N/A
294,LMT,111140839424.0,467.1,N/A
295,L,16547884032.0,74.74,N/A
296,LOW,125625827328.0,220.46,N/A
297,LULU,37338099712.0,298.7,N/A
298,LYB,31149002752.0,95.66,N/A
299,MTB,25255020544.0,151.36,N/A
300,MRO,16041954304.0,28.67,N/A
301,MPC,61122203648.0,173.48,N/A
302,MKTX,7599465472.0,200.53,N/A
303,MAR,69054832640.0,241.77,N/A
304,MMC,103826800640.0,210.72,N/A
305,MLM,33396660224.0,541.8,N/A
306,MAS,14683667456.0,66.67,N/A
307,MA,410108952576.0,441.16,N/A
308,MTCH,8070993408.0,30.38,N/A
309,MKC,19024406528.0,70.94,N/A
310,MCD,183658594304.0,254.84,N/A
311,MCK,75756412928.0,584.04,N/A
312,MDT,100927463424.0,78.71,N/A
313,MRK,313561874432.0,123.8,N/A
314,META,1278969118720.0,504.22,N/A
315,MET,49913724928.0,70.19,N/A
316,MTD,29848887296.0,1397.59,N/A
317,MGM,13939938304.0,44.44,N/A
318,MCHP,49125068800.0,91.5,N/A
319,MU,145845714944.0,131.53,N/A
320,MSFT,3321870942208.0,446.95,N/A
321,MAA,17107352576.0,142.61,N/A
322,MRNA,45509750784.0,118.75,N/A
323,MHK,7254209536.0,113.59,N/A
324,MOH,17416962048.0,297.3,N/A
325,TAP,10790090752.0,50.83,N/A
326,MDLZ,87778598912.0,65.44,N/A
327,MPWR,39992807424.0,821.68,N/A
328,MNST,49222381568.0,49.95,N/A
329,MCO,76865601536.0,420.93,N/A
330,MS,157949296640.0,97.19,N/A
331,MOS,9288257536.0,28.9,N/A
332,MSI,64388120576.0,386.05,N/A
333,MSCI,38166257664.0,481.75,N/A
334,NDAQ,34741878784.0,60.26,N/A
335,NTAP,26507298816.0,128.8,N/A
336,NFLX,290806464512.0,674.88,N/A
337,NEM,48281968640.0,41.87,N/A
338,NWSA,15850241024.0,27.57,N/A
339,NWS,15841875968.0,28.39,N/A
340,NEE,145481269248.0,70.81,N/A
341,NKE,113760468992.0,75.37,N/A
342,NI,12915666944.0,28.81,N/A
343,NDSN,13282925568.0,231.94,N/A
344,NSC,48501477376.0,214.69,N/A
345,NTRS,17181636608.0,83.98,N/A
346,NOC,64581636096.0,435.95,N/A
347,NCLH,8061680640.0,18.79,N/A
348,NRG,16231941120.0,77.86,N/A
349,NUE,37901578240.0,158.08,N/A
350,NVDA,3038874173440.0,123.54,N/A
351,NVR,23770177536.0,7588.56,N/A
352,NXPI,68802002944.0,269.09,N/A
353,ORLY,62195707904.0,1056.06,N/A
354,OXY,55884730368.0,63.03,N/A
355,ODFL,38372532224.0,176.6,N/A
356,OMC,17566308352.0,89.7,N/A
357,ON,29492404224.0,68.55,N/A
358,OKE,47596412928.0,81.55,N/A
359,ORCL,389127405568.0,141.2,N/A
360,OTIS,38920134656.0,96.26,N/A
361,PCAR,53955485696.0,102.94,N/A
362,PKG,16393522176.0,182.56,N/A
363,PANW,109771440128.0,339.01,N/A
364,PARA,7247482368.0,10.39,N/A
365,PH,65017323520.0,505.81,N/A
366,PAYX,42677215232.0,118.56,N/A
367,PAYC,8312053760.0,143.04,N/A
368,PYPL,60702277632.0,58.03,N/A
369,PNR,12729136128.0,76.67,N/A
370,PEP,226744107008.0,164.93,N/A
371,PFE,158551195648.0,27.98,N/A
372,PCG,45656150016.0,17.46,N/A
373,PM,157523574784.0,101.33,N/A
374,PSX,59849302016.0,141.17,N/A
375,PNW,8673636352.0,76.38,N/A
376,PNC,61866577920.0,155.48,N/A
377,POOL,11779589120.0,307.33,N/A
378,PPG,29521205248.0,125.89,N/A
379,PPL,20398538752.0,27.65,N/A
380,PFG,18387423232.0,78.45,N/A
381,PG,389234294784.0,164.92,N/A
382,PGR,121648685056.0,207.71,N/A
383,PLD,103981531136.0,112.31,N/A
384,PRU,42080116736.0,117.19,N/A
385,PEG,36708495360.0,73.7,N/A
386,PTC,21753892864.0,181.67,N/A
387,PSA,50547294208.0,287.65,N/A
388,PHM,23158652928.0,110.1,N/A
389,QRVO,11096801280.0,116.04,N/A
390,PWR,37195726848.0,254.09,N/A
391,QCOM,222284873728.0,199.18,N/A
392,DGX,15206273024.0,136.88,N/A
393,RL,10968401920.0,175.06,N/A
394,RJF,25621508096.0,123.61,N/A
395,RTX,133469511680.0,100.39,N/A
396,O,45994283008.0,52.82,N/A
397,REG,11561674752.0,62.2,N/A
398,REGN,115808796672.0,1051.03,N/A
399,RF,18353174528.0,20.04,N/A
400,RSG,61203881984.0,194.34,N/A
401,RMD,28120938496.0,191.42,N/A
402,RVTY,12938989568.0,104.86,N/A
403,ROK,31382745088.0,275.28,N/A
404,ROL,23640463360.0,48.79,N/A
405,ROP,60336979968.0,563.66,N/A
406,ROST,48525545472.0,145.32,N/A
407,RCL,41029148672.0,159.43,N/A
408,SPGI,139553406976.0,446.0,N/A
409,CRM,249129910272.0,257.1,N/A
410,SBAC,21091061760.0,196.3,N/A
411,SLB,67436261376.0,47.18,N/A
412,STX,21685563392.0,103.27,N/A
413,SRE,48134266880.0,76.06,N/A
414,NOW,161567850496.0,786.67,N/A
415,SHW,75666620416.0,298.43,N/A
416,SPG,56892821504.0,151.8,N/A
417,SWKS,17100442624.0,106.58,N/A
418,SJM,11579502592.0,109.04,N/A
419,SNA,13780089856.0,261.39,N/A
420,SOLV,9132905472.0,52.88,N/A
421,SO,84817362944.0,77.57,N/A
422,LUV,17121826816.0,28.61,N/A
423,SWK,12293393408.0,79.89,N/A
424,SBUX,88180695040.0,77.85,N/A
425,STT,22293166080.0,74.0,N/A
426,STLD,20348723200.0,129.5,N/A
427,STE,21702230016.0,219.54,N/A
428,SYK,129618239488.0,340.25,N/A
429,SMCI,47978266624.0,819.35,N/A
430,SYF,18948859904.0,47.19,N/A
431,SNPS,91172716544.0,595.06,N/A
432,SYY,35550937088.0,71.39,N/A
433,TMUS,207032631296.0,176.18,N/A
434,TROW,25748721664.0,115.31,N/A
435,TTWO,27211372544.0,155.49,N/A
436,TPR,9831986176.0,42.79,N/A
437,TRGP,28552714240.0,128.78,N/A
438,TGT,68488777728.0,148.04,N/A
439,TEL,46065876992.0,150.43,N/A
440,TDY,18398982144.0,387.98,N/A
441,TFX,9907090432.0,210.33,N/A
442,TER,23149846528.0,148.29,N/A
443,TSLA,631078912000.0,197.88,N/A
444,TXN,177116053504.0,194.53,N/A
445,TXT,16373416960.0,85.86,N/A
446,TMO,211088949248.0,553.0,N/A
447,TJX,124429516800.0,110.1,N/A
448,TSCO,29108699136.0,270.0,N/A
449,TT,74453958656.0,328.93,N/A
450,TDG,71493140480.0,1277.61,N/A
451,TRV,46563434496.0,203.34,N/A
452,TRMB,13656111104.0,55.92,N/A
453,TFC,51985182720.0,38.85,N/A
454,TYL,21345675264.0,502.78,N/A
455,TSN,20343267328.0,57.14,N/A
456,USB,61950263296.0,39.7,N/A
457,UBER,151866310656.0,72.68,N/A
458,UDR,15511823360.0,41.15,N/A
459,ULTA,18412326912.0,385.87,N/A
460,UNP,138046193664.0,226.26,N/A
461,UAL,15999554560.0,48.66,N/A
462,UPS,117083250688.0,136.85,N/A
463,URI,43441049600.0,646.73,N/A
464,UNH,468715274240.0,509.26,N/A
465,UHS,12377216000.0,184.93,N/A
466,VLO,51645210624.0,156.76,N/A
467,VTR,20748716032.0,51.26,N/A
468,VLTO,23566483456.0,95.47,N/A
469,VRSN,17708879872.0,177.8,N/A
470,VRSK,38458048512.0,269.55,N/A
471,VZ,173589479424.0,41.24,N/A
472,VRTX,120954601472.0,468.72,N/A
473,VTRS,12656928768.0,10.63,N/A
474,VICI,29876674560.0,28.64,N/A
475,V,537039863808.0,262.47,N/A
476,VST,29874612224.0,85.98,N/A
477,VMC,32888426496.0,248.68,N/A
478,WRB,20089919488.0,78.58,N/A
479,GWW,44329938944.0,902.24,N/A
480,WAB,27877648384.0,158.05,N/A
481,WBA,10441311232.0,12.095,N/A
482,WMT,544628080640.0,67.71,N/A
483,DIS,181009645568.0,99.29,N/A
484,WBD,18230304768.0,7.44,N/A
485,WM,85567045632.0,213.34,N/A
486,WAT,17209831424.0,290.12,N/A
487,WEC,24779472896.0,78.46,N/A
488,WFC,207052554240.0,59.39,N/A
489,WELL,62332747776.0,104.25,N/A
490,WST,24113127424.0,329.39,N/A
491,WDC,24740798464.0,75.77,N/A
492,WRK,12980800512.0,50.26,N/A
493,WY,20696793088.0,28.39,N/A
494,WMB,51796873216.0,42.5,N/A
495,WTW,26800146432.0,262.14,N/A
496,WYNN,10030354432.0,89.5,N/A
497,XEL,29676677120.0,53.41,N/A
498,XYL,32883089408.0,135.63,N/A
499,YUM,37304975360.0,132.46,N/A
500,ZBRA,15884994560.0,308.93,N/A
501,ZBH,22327660544.0,108.53,N/A
502,ZTS,79103303680.0,173.36,N/A
